Judul,Harga,Lokasi,Kota,Provinsi,Tipe Properti,Kamar Tidur,Kamar Mandi,Luas Total,Lantai,Tahun Dibangun,Sertifikat,Nama Agen,Tanggal Posting,Link
Jual Cepat Gateway Cicadas Apartment 2br Lt8,Rp 295Jt,"Kel. Padasuka, Padasuka, Cibeunying Kidul, Kota Bandung, Jawa Barat",Kota Bandung,Jawa Barat,Apartemen,2 Kamar Tidur,1 kamar mandi,36 m²,8,,SHM,BnB Property Bandung,15 Sep 2025,https://www.lamudi.co.id/jual/jawa-barat/bandung/the-suites-metro-apartment-sewa-murah-2br-lt15-175789115937/
"Di jual apartement  full furnish 2 kamar tidur siap huni, aman dan nayaman lokasi premium di pusat kota BSD","Rp 1,40M","BSD City, Sampora, Cisauk, Kabupaten Tangerang, Banten",Kabupaten Tangerang,Banten,Apartemen,2 Kamar Tidur,1 kamar mandi,48 m²,26,,,Linktown Expert - Michel,3 Feb 2026,https://www.lamudi.co.id/properti/41032-73-eeea04f1fd7f-5536-19c2446-85d6-7aec
Apartemen Sherwood Residence Tower wellington Kelapa Gading Jakarta Utara,"Rp 2,30M","RW 13, Kelapa Gading Timur, Kelapa Gading, Jakarta Utara, Daerah Khusus Ibukota Jakarta",Jakarta Utara,Daerah Khusus Ibukota Jakarta,Apartemen,3 Kamar Tidur,2 Kamar Mandi,143 m²,,,,Alice LJH Realty Kelapa Gading,14 Okt 2025,https://www.lamudi.co.id/properti/41032-73-e5bbde7b6cb3-4bec-199e1f9-ae41-7227
"Jual Murah Apartemen Kalibata City Green Palace 2BR Full Furnished, SHM, Siap Huni",Rp 438Jt,"RW 07, Rawajati, Pancoran, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",Jakarta Selatan,Daerah Khusus Ibukota Jakarta,Apartemen,2 Kamar Tidur,1 kamar mandi,35 m²,20,,SHM,COZY PROPERTY,15 Jan 2026,https://www.lamudi.co.id/properti/41032-73-b13f789d1b0e-1171-19bbc80-a5d1-719b
"Dijual Rugi Apartemen Paddington Heights, Apartemen Paddington Heights, Paddington Heights, Alam Sutera","Rp 1,10M","Alam Sutera, Pinang, Tangerang, Banten",Tangerang,Banten,Apartemen,2 Kamar Tidur,2 Kamar Mandi,78 m²,30,,,Diana - Gading Pro,20 Feb 2026,https://www.lamudi.co.id/properti/41032-73-bdfdd373b0d8-2519-19c7993-8f81-7417
"Dijual Apartemen Taman Rasuna 2 br, Siap Huni , Setiabudi jaksel","Rp 1,25M","RW 03, Pasar Manggis, Setiabudi, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",Jakarta Selatan,Daerah Khusus Ibukota Jakarta,Apartemen,2 Kamar Tidur,2 Kamar Mandi,74 m²,,,Strata,Dua Sekawan Realty - Jessicha,7 Agu 2025,https://www.lamudi.co.id/jual/jakarta/jakarta-selatan/dijual-apartemen-taman-rasuna-2-br-siap-huni-setia-175457751866/
Dijual Cepet Apartemen Taman Anggrek Residence 3 Bedroom,"Rp 3,50M","RW 07, Tanjung Duren Selatan, Grogol Petamburan, Jakarta Barat, Daerah Khusus Ibukota Jakarta",Jakarta Barat,Daerah Khusus Ibukota Jakarta,Apartemen,3 Kamar Tidur,2 Kamar Mandi,135 m²,,,,Edi Saputra - Bestindo realty,15 Des 2025,https://www.lamudi.co.id/jual/jakarta/jakarta-barat/dijual-cepet-apartemen-taman-anggrek-residence-3-b-173820996546/
Dijual Apartemen Full Furnish Casa Grande Kasablanca,"Rp 2,50M","RW 12, Menteng Dalam, Tebet, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",Jakarta Selatan,Daerah Khusus Ibukota Jakarta,Apartemen,2 Kamar Tidur,2 Kamar Mandi,76 m²,,,HGB,Linktown Expert - Santi,"1 minggu, 1 hari yang lalu",https://www.lamudi.co.id/properti/41032-73-ab2be506d69d-8690-19ef81f-b6db-7bb2
DIJUAL APARTEMENT 1 BR PURI ORCHARD JAKARTA BARAT,Rp 500Jt,"RW 03, Rawa Buaya, Cengkareng, Jakarta Barat, Daerah Khusus Ibukota Jakarta",Jakarta Barat,Daerah Khusus Ibukota Jakarta,Apartemen,1 kamar tidur,1 kamar mandi,38 m²,10,,PPJB,Che - Che Prosperity,31 Mar 2026,https://www.lamudi.co.id/properti/41032-73-f7831784b33b-ff23-19d435e-a9d6-7829
dijual sangat murah apartemen tokyo riverside pik 2 connecting uk 57m semi furnish,Rp 678Jt,"Muara, Pantai Indah Kapuk 2, Muara, Teluknaga, Kabupaten Tangerang, Banten",Kabupaten Tangerang,Banten,Apartemen,3 Kamar Tidur,2 Kamar Mandi,57 m²,0,,,Artha Property,15 Feb 2026,https://www.lamudi.co.id/properti/41032-73-d82ed303ef22-bd36-19c62c8-9414-7215
Dijual Apartment Sky House BSD Tipe Studio Tower Leonie,Rp 450Jt,"BSD City, Sampora, Cisauk, Kabupaten Tangerang, Banten",Kabupaten Tangerang,Banten,Apartemen,1 kamar tidur,1 kamar mandi,21 m²,25,,,We Pro,27 Okt 2024,https://www.lamudi.co.id/jual/banten/tangerang-selatan/dijual-apartment-sky-house-bsd-tipe-studio-tower-l-173001630898/
"Dijual Apartemen 2 Bed Room Podomoro Golf View Furnished Bagus Mewah, Siap Huni, SHM, Bisa KPA",Rp 550Jt,"Podomoro Golf View, Bojong Nangka, Gunung Putri, Kab Bogor, Jawa Barat",Kab Bogor,Jawa Barat,Apartemen,2 Kamar Tidur,1 kamar mandi,35 m²,7,2018,SHM,We Pro,29 Mar 2026,https://www.lamudi.co.id/properti/41032-73-3f8faec654c-ed10-19d38ea-84f1-72c3
Dijual apartemen regatta tower Monte Carlo,Rp 5M,"RW 16, Pluit, Penjaringan, Jakarta Utara, Daerah Khusus Ibukota Jakarta",Jakarta Utara,Daerah Khusus Ibukota Jakarta,Apartemen,4 Kamar Tidur,4 Kamar Mandi,206 m²,,,SHM,Sherly - Gading Pro,"2 minggu, 4 jam yang lalu",https://www.lamudi.co.id/properti/41032-73-1dee8c061ac8-92da-19edab2-b5e6-7167
Di Jual apartment studio full furnish bagus lantai 1 di Sayana Kota Harapan Indah Bekasi,Rp 650Jt,"Kota Harapan Indah, Medansatria, Bekasi, Jawa Barat",Bekasi,Jawa Barat,Apartemen,1 kamar tidur,1 kamar mandi,21 m²,1,,,Linktown Expert - Michel,26 Feb 2026,https://www.lamudi.co.id/properti/41032-73-2c02c31e46d7-e57-19c9839-a104-79de
Dijual Apartemen Full Furnish Skandinavia Tangerang,"Rp 1,90M","Babakan, Tangerang, Tangerang, Banten",Tangerang,Banten,Apartemen,2 Kamar Tidur,2 Kamar Mandi,89 m²,11,,Strata,Linktown Expert - Santi,2 Jun 2026,https://www.lamudi.co.id/properti/41032-73-9e2d1cf05f85-520d-19e871c-96c0-71f1
Jual Cepat Apartment Furnish 1BR The Kensington Royal Suite Kelapa Gading,"Rp 1,40M","RW 01, Kelapa Gading Timur, Kelapa Gading, Jakarta Utara, Daerah Khusus Ibukota Jakarta",Jakarta Utara,Daerah Khusus Ibukota Jakarta,Apartemen,1 kamar tidur,1 kamar mandi,31 m²,6,2018,,Linktown Expert - Andreas,2 Feb 2026,https://www.lamudi.co.id/properti/41032-73-43d68746675d-8f3-19c1ddd-8afe-7f75
"Apartment Mewah 2 Bed Marigold Navapark BSD, Siap Huni View Botanical Garden","Rp 4,30M","BSD City, Sampora, Cisauk, Kabupaten Tangerang, Banten",Kabupaten Tangerang,Banten,Kondominium,2 Kamar Tidur,2 Kamar Mandi,115 m²,17,2018,,We Pro,6 Feb 2026,https://www.lamudi.co.id/properti/41032-73-86d8c638b9cd-eb4a-19c3241-bb61-7b90
Dijual Atau Disewakan Apartement Puri Park View 2 Kamar Tidur Siap Huni,Rp 22Jt/tahun,"RW 05, Meruya Utara, Kembangan, Jakarta Barat, Daerah Khusus Ibukota Jakarta",Jakarta Barat,Daerah Khusus Ibukota Jakarta,Apartemen,2 Kamar Tidur,1 kamar mandi,36 m²,1,,Strata,Linktown Expert - Michel,16 Apr 2026,https://www.lamudi.co.id/properti/41032-73-d762b739996c-1c55-19d96a9-c007-752c
Jual Cepat Apartment Studio Furnish Eksklusif di Sentral and Cengkareng Jakarta,Rp 850Jt,"RW 14, Cengkareng Timur, Cengkareng, Jakarta Barat, Daerah Khusus Ibukota Jakarta",Jakarta Barat,Daerah Khusus Ibukota Jakarta,Apartemen,1 kamar tidur,1 kamar mandi,25 m²,21,,,Linktown Expert - Andreas,20 Feb 2026,https://www.lamudi.co.id/properti/41032-73-bcfa6ee1f671-9b91-19c7a5e-9f2a-7392
Dijual Apartemen Full Furnish Chadstone Cikarang,Rp 600Jt,"Pasirsari, Kab Bekasi, Jawa Barat",Kab Bekasi,Jawa Barat,Apartemen,1 kamar tidur,1 kamar mandi,25 m²,,,PPJB,Linktown Expert - Santi,"1 minggu, 1 hari yang lalu",https://www.lamudi.co.id/properti/41032-73-ef1adebf00f0-282e-19ef82e-b70a-803e
Dijual Cepat Apartemen Greenbay Pluit,Rp 310Jt,"RW 10, Pluit, Penjaringan, Jakarta Utara, Daerah Khusus Ibukota Jakarta",Jakarta Utara,Daerah Khusus Ibukota Jakarta,Apartemen,2 Kamar Tidur,1 kamar mandi,35 m²,9,,PPJB,Linktown Expert - Santi,5 Jun 2026,https://www.lamudi.co.id/properti/41032-73-f61c1a39e2db-c217-19e964b-b440-7b7c
Jual Apartemen Green Bay Pluit Unit H Lantai 8 Full Furnish 2 KT,Rp 520Jt,"RW 10, Pluit, Penjaringan, Jakarta Utara, Daerah Khusus Ibukota Jakarta",Jakarta Utara,Daerah Khusus Ibukota Jakarta,Apartemen,2 Kamar Tidur,1 kamar mandi,42 m²,8,,,Linktown Expert - Clarissa,25 Feb 2026,https://www.lamudi.co.id/properti/41032-73-eca22f813aba-49ba-19c9318-afe9-7dc0
Dijual Cepat Apartemen Full Furnish The Ayoma Serpong Tangerang,Rp 950Jt,"Rawa Buntu, Serpong, Tangerang Selatan, Banten",Tangerang Selatan,Banten,Apartemen,2 Kamar Tidur,1 kamar mandi,48 m²,7,,HGB,Linktown Expert - Santi,4 Jun 2026,https://www.lamudi.co.id/properti/41032-73-ba01d26ccc82-3de3-19e913c-bbe3-70e5
Dijual apartement  2 kamar tidur di Sentra Primer Timur cakung Jakarta Timur,Rp 350Jt,"RW 14, Pulo Gebang, Cakung, Jakarta Timur, Daerah Khusus Ibukota Jakarta",Jakarta Timur,Daerah Khusus Ibukota Jakarta,Apartemen,2 Kamar Tidur,1 kamar mandi,36 m²,1,,,Linktown Expert - Michel,21 Feb 2026,https://www.lamudi.co.id/properti/41032-73-d11e37cf4feb-ce0f-19c7eae-8d14-7b7f
Jual Murah Apartemen The Mansion Bougenville di Kemayoran Jakarta Utara – 1 BR Full Furnished,Rp 450Jt,"PPK Kemayoran, Pademangan Timur, Pademangan, Jakarta Utara, Daerah Khusus Ibukota Jakarta",Jakarta Utara,Daerah Khusus Ibukota Jakarta,Apartemen,1 kamar tidur,1 kamar mandi,29 m²,,,HGB,ACE Realty,29 Mar 2026,https://www.lamudi.co.id/properti/41032-73-2ee91852882f-ae4b-19d3a51-a6c9-70a0
Jual Cepat Apartment Studio Skyhouse BSD,Rp 450Jt,"BSD Grand CBD, BSD City, Sampora, Cisauk, Kabupaten Tangerang, Banten",Kabupaten Tangerang,Banten,Apartemen,1 kamar tidur,1 kamar mandi,25 m²,2,,,We Pro,9 Mar 2025,https://www.lamudi.co.id/jual/banten/tangerang-selatan/jual-cepat-apartment-studio-skyhouse-bsd-17415052211/
Best Price!!! Apartment Ayodhya 2BR Full Furnish di Tangerang,Rp 400Jt,"Goldland Karawaci, Kelapa Dua, Kelapa Dua, Kabupaten Tangerang, Banten",Kabupaten Tangerang,Banten,Apartemen,2 Kamar Tidur,1 kamar mandi,40 m²,18,,,Linktown Expert - Andreas,5 Feb 2026,https://www.lamudi.co.id/properti/41032-73-930018132b32-937e-19c2c6f-a124-79e2
Jual Dan Sewa Apartment Bogor Velley Full Furnish Lokasi Bogor Nego Sampai Jadi,Rp 325Jt,"Semplak, Bogor Barat, Bogor, Jawa Barat",Bogor,Jawa Barat,Apartemen,2 Kamar Tidur,1 kamar mandi,31 m²,5,2012,SHM,Linktown Expert - Ferdi,17 Apr 2026,https://www.lamudi.co.id/properti/41032-73-4af26b35cb63-fa8b-19d9bb2-90e7-7d3e
"Apartemen Casa De Parco BSD 1BR, 1 Bedroom Full Furnushed",Rp 850Jt,"BSD City, Sampora, Cisauk, Kabupaten Tangerang, Banten",Kabupaten Tangerang,Banten,Apartemen,1 kamar tidur,1 kamar mandi,40 m²,28,,,We Pro,29 Agu 2025,https://www.lamudi.co.id/jual/banten/tangerang-selatan/apartemen-casa-de-parco-bsd-1br-1-bedroom-full-fur-175645262084/
Apartemen paviliun permata Surabaya- AP002ARB,Rp 245Jt,"RW 01, Ketabang, Genteng, Surabaya, Jawa Timur",Surabaya,Jawa Timur,Apartemen,,,23 m²,,,HGB,PROPTIC diamond,18 Mei 2026,https://www.lamudi.co.id/properti/41032-73-19d7bdb74168-127-19e3ade-a6d1-766e
Apartemen 2BR The Accent Apartment Bintaro,"Rp 1,50M","CBD Bintaro Jaya, Bintaro Jaya, Pondok Aren, Tangerang Selatan, Banten",Tangerang Selatan,Banten,Apartemen,2 Kamar Tidur,2 Kamar Mandi,83 m²,8,,,We Pro,21 Mar 2026,https://www.lamudi.co.id/properti/41032-73-7fe2d9764f31-e5b2-19d0f39-90b9-7794
Jual Cepat Apartment Callia 2 BR Strategis di Jakarta,"Rp 1,25M","RW 16, Kayu Putih, Pulo Gadung, Jakarta Timur, Daerah Khusus Ibukota Jakarta",Jakarta Timur,Daerah Khusus Ibukota Jakarta,Apartemen,2 Kamar Tidur,2 Kamar Mandi,62 m²,,2015,,Linktown Expert - Andreas,2 Feb 2026,https://www.lamudi.co.id/properti/41032-73-7a2bc344aa55-79f9-19c1df8-bf48-7831
Dijual apartment bagus type studio view gunung Salak cimanggu Bogor,Rp 550Jt,"Cibadak, Tanah Sareal, Bogor, Jawa Barat",Bogor,Jawa Barat,Apartemen,1 kamar tidur,1 kamar mandi,26 m²,,,,Linktown Expert - Michel,18 Feb 2026,https://www.lamudi.co.id/properti/41032-73-7a6cff6c3e4a-a0d9-19c6f17-a033-790a
Jual Apartemen Full Furnished Intermark BSD persis di exit tol pertama BSD,Rp 650Jt,"Pondok So, Rawa Mekar Jaya, Serpong, Tangerang Selatan, Banten",Tangerang Selatan,Banten,Apartemen,2 Kamar Tidur,1 kamar mandi,51 m²,,,,We Pro,2 Mar 2026,https://www.lamudi.co.id/properti/41032-73-ceca2cb516d4-abb-19cad29-bd73-7421
Dijual Cepat Turun Harga Apartement Branz BSD,"Rp 1,30M","BSD Grand CBD, BSD City, Pagedangan, Pagedangan, Kabupaten Tangerang, Banten",Kabupaten Tangerang,Banten,Apartemen,1 kamar tidur,1 kamar mandi,52 m²,1,,Strata,Linktown Expert - Michel,29 Apr 2026,https://www.lamudi.co.id/properti/41032-73-a5eea3a0f0-768e-19dd7f1-8cb3-780e
"Best Deal! Luxury Apartment 1 Bed Branz BSD, View Aeon Mall, High Zone","Rp 1,40M","BSD Grand CBD, BSD City, Pagedangan, Pagedangan, Kabupaten Tangerang, Banten",Kabupaten Tangerang,Banten,Kondominium,1 kamar tidur,1 kamar mandi,56 m²,29,,,We Pro,22 Sep 2025,https://www.lamudi.co.id/jual/banten/tangerang-selatan/best-deal-luxury-apartment-1-bed-branz-bsd-view-ae-175851721564/
Dijual Apartement Kebagusan City Jakarta Selatan,Rp 780Jt,"RW 02, Kebagusan, Pasar Minggu, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",Jakarta Selatan,Daerah Khusus Ibukota Jakarta,Apartemen,2 Kamar Tidur,1 kamar mandi,44 m²,1,,Strata,Linktown Expert - Michel,11 Apr 2026,https://www.lamudi.co.id/properti/41032-73-42043d515b5f-f81b-19d7cb1-bcd6-7f04
Jual Apartemen Embarcadero Bintaro Tower Eastern Lantai 10 4 KT Furnish Incld Water Heater,"Rp 1,60M","Pondok Pucung, Pondok Aren, Tangerang Selatan, Banten",Tangerang Selatan,Banten,Apartemen,4 Kamar Tidur,3 Kamar Mandi,102 m²,10,,SHM,Linktown Expert - Clarissa,26 Mar 2026,https://www.lamudi.co.id/properti/41032-73-8af6ae08bee6-7ff7-19d2946-8b0c-7bf5
Jual Cepat BU Apartement Callia 2BR Furnish dan Strategis di Jakarta,Rp 958Jt,"RW 16, Kayu Putih, Pulo Gadung, Jakarta Timur, Daerah Khusus Ibukota Jakarta",Jakarta Timur,Daerah Khusus Ibukota Jakarta,Apartemen,2 Kamar Tidur,2 Kamar Mandi,72 m²,,,PPJB,Linktown Expert - Andreas,"3 minggu, 6 jam yang lalu",https://www.lamudi.co.id/properti/41032-73-26903e631687-f60f-19eb63c-a45f-742d
Jual Cepat Apartemen Eksklusif dan Strategis di Kensington Kelapa Gading,"Rp 1,30M","RW 01, Kelapa Gading Timur, Kelapa Gading, Jakarta Utara, Daerah Khusus Ibukota Jakarta",Jakarta Utara,Daerah Khusus Ibukota Jakarta,Apartemen,1 kamar tidur,1 kamar mandi,31 m²,19,,HGB,Linktown Expert - Andreas,28 Apr 2026,https://www.lamudi.co.id/properti/41032-73-c030f689f45e-304d-19dd445-89fa-7fde
Jual Apartement Tree Park City Tower Alphine Lantai 19 Full Furnished Dekat RS Primaya & Hotel Mercure,"Rp 1,10M","Ciakar Hilir, Cicalengka, Pagedangan, Kabupaten Tangerang, Banten",Kabupaten Tangerang,Banten,Apartemen,2 Kamar Tidur,1 kamar mandi,53 m²,19,,,Linktown Expert - Clarissa,20 Feb 2026,https://www.lamudi.co.id/properti/41032-73-9ac1b8eef88f-3ea2-19c79a3-b07b-7c23
Jual Apartemen Kensington Full Furnish Lt 16 Hadap Kolam Renang Nego,"Rp 2,65M","RW 01, Kelapa Gading Timur, Kelapa Gading, Jakarta Utara, Daerah Khusus Ibukota Jakarta",Jakarta Utara,Daerah Khusus Ibukota Jakarta,Apartemen,3 Kamar Tidur,3 Kamar Mandi,101 m²,16,,,Linktown Expert - Clarissa,6 Mar 2026,https://www.lamudi.co.id/properti/41032-73-ee6c2867f79e-a2a9-19cc27e-9d3b-70b5
Dijual apartment studio full furnish di Grand Kemala Lagoon Bekasi,Rp 520Jt,"Bumi Satria Kencana, Lagoon, Jakasampurna, Bekasi, Jawa Barat",Bekasi,Jawa Barat,Apartemen,1 kamar tidur,1 kamar mandi,24 m²,25,,,Linktown Expert - Michel,26 Feb 2026,https://www.lamudi.co.id/properti/41032-73-a39c871c82f7-2a2c-19c9977-8ff1-764d
LANGKA Apartemen Kemang Village 3 plus Maid Room Full Furnished baru,Rp 3M,"RW 06, Cipete Utara, Kebayoran Baru, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",Jakarta Selatan,Daerah Khusus Ibukota Jakarta,Apartemen,3 Kamar Tidur,2 Kamar Mandi,132 m²,17,,,We Pro,7 Sep 2025,https://www.lamudi.co.id/jual/jakarta/jakarta-selatan/langka-apartemen-kemang-village-3-plus-maid-room-f-175725808363/
Dijual Apartemen Pejaten Park Residence Fully Furnished,Rp 1M,"RW 01, Ragunan, Pasar Minggu, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",Jakarta Selatan,Daerah Khusus Ibukota Jakarta,Apartemen,1 kamar tidur,1 kamar mandi,40 m²,7,,,We Pro,14 Feb 2025,https://www.lamudi.co.id/jual/jakarta/jakarta-selatan/dijual-apartemen-pejaten-park-residence-fully-furn-173953646196/
"Best Deal Apartement Mewah Loft 3 BR Satu8 Residence, Bebas Banjir","Rp 3,20M","RW 03, Kedoya Selatan, Kebon Jeruk, Jakarta Barat, Daerah Khusus Ibukota Jakarta",Jakarta Barat,Daerah Khusus Ibukota Jakarta,Kondominium,3 Kamar Tidur,3 Kamar Mandi,178 m²,10,,,We Pro,14 Jun 2024,https://www.lamudi.co.id/jual/jakarta/jakarta-barat/best-deal-apartement-mewah-loft-3-br-satu8-residen-172285471049/
Dijual Apartment BRANZ BSD 2BR Apartment 2 Kamar BSD City,"Rp 1,95M","Rawalele, Jombang, Ciputat, Tangerang Selatan, Banten",Tangerang Selatan,Banten,Apartemen,2 Kamar Tidur,1 kamar mandi,87 m²,22,,,We Pro,4 Nov 2024,https://www.lamudi.co.id/jual/banten/tangerang-selatan/dijual-apartment-branz-bsd-2br-apartment-2-kamar-b-17306831329/
Apartemen Studio siap huni lokasi strategis dekat dgn Mall Aeon dan tol,Rp 450Jt,"BSD Grand CBD, BSD City, Sampora, Cisauk, Kabupaten Tangerang, Banten",Kabupaten Tangerang,Banten,Apartemen,1 kamar tidur,1 kamar mandi,20 m²,3,,,Vera - Prosperity Property,9 Nov 2025,https://www.lamudi.co.id/properti/41032-73-e804b2565e75-e6dd-19a67ee-9270-7080
Jual Apartemen M Town Signature Tower Galaxy Full Furnished Hadap City Siap Huni,Rp 1M,"Goldland Karawaci, Kelapa Dua, Kelapa Dua, Kabupaten Tangerang, Banten",Kabupaten Tangerang,Banten,Apartemen,1 kamar tidur,1 kamar mandi,46 m²,,,,Linktown Expert - Clarissa,9 Feb 2026,https://www.lamudi.co.id/properti/41032-73-481402c312b9-735e-19c43db-8e00-71c3
Jual Apart Dibawah Pasaran Casa De Parco Tower Magnolia Full Furnished,Rp 525Jt,"BSD City, Sampora, Cisauk, Kabupaten Tangerang, Banten",Kabupaten Tangerang,Banten,Apartemen,1 kamar tidur,1 kamar mandi,40 m²,,,PPJB,Linktown Expert - Clarissa,7 Mei 2026,https://www.lamudi.co.id/properti/41032-73-7b2f37626105-56cc-19e01ee-a25f-7646
Di jual apartment full furnish 1 kamar tidur lokasi strategis di Menteng atas Jakarta Selatan,Rp 65Jt/tahun,"RW 10, Menteng Atas, Setiabudi, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",Jakarta Selatan,Daerah Khusus Ibukota Jakarta,Apartemen,1 kamar tidur,1 kamar mandi,33 m²,8,,,Linktown Expert - Michel,6 Feb 2026,https://www.lamudi.co.id/properti/41032-73-a1677016449e-4f89-19c32d2-864b-7277
"Apartement Branz Bsd 3 BR Furnished Dekat Aeon, Tol, Ice, View Aeon","Rp 3,60M","Lembang Sari, Rajeg, Kabupaten Tangerang, Banten",Kabupaten Tangerang,Banten,Kondominium,4 Kamar Tidur,3 Kamar Mandi,115 m²,11,,,We Pro,3 Apr 2024,https://www.lamudi.co.id/jual/banten/tangerang/apartement-branz-bsd-3-br-furnished-dekat-aeon-tol-171214046485/
Jual Apartemen 2 Kamar Kebagusan City Jakarta Selatan Full Furnish,Rp 650Jt,"RW 02, Kebagusan, Pasar Minggu, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",Jakarta Selatan,Daerah Khusus Ibukota Jakarta,Apartemen,2 Kamar Tidur,1 kamar mandi,45 m²,1,,SHM,Linktown Expert - Michel,10 Apr 2026,https://www.lamudi.co.id/properti/41032-73-45e95a225edb-f016-19d765f-9f82-7ab2
Di jual apartment 1 kamar tidur semi furnish di The mansion kemayoran jakarta pusat,Rp 700Jt,"RW 06, Kebon Kosong, Kemayoran, Jakarta Pusat, Daerah Khusus Ibukota Jakarta",Jakarta Pusat,Daerah Khusus Ibukota Jakarta,Apartemen,1 kamar tidur,1 kamar mandi,31 m²,16,,,Linktown Expert - Michel,13 Feb 2026,https://www.lamudi.co.id/properti/41032-73-c587de55ac10-74fd-19c55f7-8739-70de
"dijual cepat apartemen green lake sunter,2bedrooms,furnished lengkap,luas 42,sertifikat,hoek,,view danau,harga 555 juta nego",Rp 560Jt,"RW 16, Sunter Agung, Tanjung Priok, Jakarta Utara, Daerah Khusus Ibukota Jakarta",Jakarta Utara,Daerah Khusus Ibukota Jakarta,Apartemen,2 Kamar Tidur,1 kamar mandi,42 m²,,,Strata,East star property,23 Apr 2026,https://www.lamudi.co.id/properti/41032-73-625ff332b611-97c-19db885-8baa-724c
Jual Apartement Eastern Green Of LRT City Siap Huni,Rp 520Jt,"Toyogiri, Lambangsari, Kab Bekasi, Jawa Barat",Kab Bekasi,Jawa Barat,Apartemen,1 kamar tidur,1 kamar mandi,27 m²,1,,Strata,Linktown Expert - Michel,10 Apr 2026,https://www.lamudi.co.id/properti/41032-73-3739be1fade-bb51-19d76df-9ac1-7a9d
"Apartement 2 BR Depan Mrt Murah, Istana Harmoni Semi Furnished",Rp 995Jt,"RW 05, Cideng, Gambir, Jakarta Pusat, Daerah Khusus Ibukota Jakarta",Jakarta Pusat,Daerah Khusus Ibukota Jakarta,Apartemen,3 Kamar Tidur,1 kamar mandi,94 m²,27,,,We Pro,1 Apr 2024,https://www.lamudi.co.id/jual/jakarta/jakarta-pusat/apartement-2-br-depan-mrt-murah-istana-harmoni-sem-171196499620/
Apartemen Amor Pakuwon City Mall Semi Furnish,Rp 415Jt,"Pakuwon City, RW 03, Kejawen Putih Tambak, Mulyorejo, Surabaya, Jawa Timur",Surabaya,Jawa Timur,Apartemen,1 kamar tidur,1 kamar mandi,22 m²,1,,PPJB,Galaxy Cbd,14 Mar 2026,https://www.lamudi.co.id/properti/41032-73-dbd9e328c8f8-68ac-19ceb30-ba42-71e3
Dijual Cepat Apartement Furnish 2 BR di Greenbay Pluit Jakarta,Rp 625Jt,"RW 10, Pluit, Penjaringan, Jakarta Utara, Daerah Khusus Ibukota Jakarta",Jakarta Utara,Daerah Khusus Ibukota Jakarta,Apartemen,2 Kamar Tidur,1 kamar mandi,49 m²,31,,,Linktown Expert - Andreas,4 Mar 2026,https://www.lamudi.co.id/properti/41032-73-56ea898c28a1-9c6d-19cb80c-b9d0-7b69
Dijual/Disewakan Apartemen The 18th Residence FULL Furnish,Rp 130Jt/tahun,"RW 10, Menteng Atas, Setiabudi, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",Jakarta Selatan,Daerah Khusus Ibukota Jakarta,Apartemen,2 Kamar Tidur,1 kamar mandi,72 m²,1,,SHM,Linktown Expert - Michel,5 Mei 2026,https://www.lamudi.co.id/properti/41032-73-eb74d3b1876d-6624-19df697-b101-777c
Nego Apartemen 3 Br Baru Greess di Avenue 88 Surabaya Barat,"Rp 1,90M","RW 03, Sono Kwijenan, Sukomanunggal, Surabaya, Jawa Timur",Surabaya,Jawa Timur,Apartemen,3 Kamar Tidur,2 Kamar Mandi,84 m²,,,,Linktown Center,"2 minggu, 5 jam yang lalu",https://www.lamudi.co.id/properti/41032-73-efe390fe9b71-2aaa-a8c12383-9006-4bd1
Jual Apartement Full Furnish Bintaro Icon,Rp 800Jt,"Pondok Aren, Pondok Aren, Tangerang Selatan, Banten",Tangerang Selatan,Banten,Apartemen,1 kamar tidur,1 kamar mandi,36 m²,1,,PPJB,Linktown Expert - Michel,10 Apr 2026,https://www.lamudi.co.id/properti/41032-73-aca23ab9694d-c37b-19d765c-b256-747f
Jual Apartement Grand Kamala Lagoon Tower Barclay South Furnish Studio Bagus,Rp 520Jt,"Grand Kamala Lagoon, Lagoon, Jakasampurna, Bekasi, Jawa Barat",Bekasi,Jawa Barat,Apartemen,1 kamar tidur,1 kamar mandi,24 m²,,,PPJB,Linktown Expert - Clarissa,13 Mei 2026,https://www.lamudi.co.id/properti/41032-73-3619948ed941-6c8d-19e20ae-b616-7484
Jual Apartemen Green Pramuka Square Tower Pino Lt 26 Hadap Kolam Renang Furnish,Rp 400Jt,"RW 09, Rawasari, Cempaka Putih, Jakarta Pusat, Daerah Khusus Ibukota Jakarta",Jakarta Pusat,Daerah Khusus Ibukota Jakarta,Apartemen,2 Kamar Tidur,1 kamar mandi,30 m²,26,,,Linktown Expert - Clarissa,5 Feb 2026,https://www.lamudi.co.id/properti/41032-73-c14233c17d60-9058-19c2cd2-9ad2-7d76
